LocalTime,LastPrice,TradeVolume,TradeValue,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidPrice6,BidPrice7,BidPrice8,BidPrice9,BidPriceA,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskPrice6,AskPrice7,AskPrice8,AskPrice9,AskPriceA,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,BidVolume6,BidVolume7,BidVolume8,BidVolume9,BidVolumeA,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,AskVolume6,AskVolume7,AskVolume8,AskVolume9,AskVolumeA
0.0,6.26,10100,63226.0,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.16,6.15,6.14,6.26,6.27,6.28,6.3,6.31,6.32,6.33,6.34,6.35,6.36,13000,10500,12000,25100,3000,3500,2100,2000,9000,300,4400,2600,35000,600,3000,5100,100,5100,8800,10600
1.0,6.26,10900,68228.0,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.16,6.15,6.14,6.26,6.27,6.28,6.3,6.31,6.32,6.33,6.34,6.35,6.36,12700,10500,12000,25100,8000,3500,2100,2000,9000,300,7600,1600,35000,600,3000,5700,100,5100,8800,10600
2.0,6.26,11200,70106.0,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.16,6.15,6.26,6.27,6.28,6.3,6.31,6.32,6.33,6.34,6.35,6.36,4100,12900,10500,12000,25100,8000,3500,2100,6800,12000,7300,1600,35000,600,3000,5700,100,5100,9100,10600
3.0,6.26,11200,70106.0,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.16,6.15,6.26,6.27,6.28,6.3,6.31,6.32,6.33,6.34,6.35,6.36,4100,13700,10500,12000,25100,8000,3500,2100,6800,12000,7500,1600,5000,600,3000,5700,100,5100,9100,10600
4.0,6.25,12600,78867.0,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.16,6.15,6.26,6.27,6.28,6.3,6.31,6.32,6.33,6.34,6.35,6.36,3800,14700,10500,12000,25100,8500,14000,2100,6800,12000,7700,1600,5000,600,3000,5700,100,5100,9100,10600
5.0,6.26,13900,87005.0,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.16,6.15,6.26,6.27,6.28,6.3,6.31,6.32,6.33,6.34,6.35,6.36,41600,14700,10500,12000,25100,8500,14000,2100,6800,13000,6400,1600,6600,600,4000,5700,100,5100,9100,10600
6.0,6.26,16400,102646.0,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.16,6.15,6.26,6.27,6.28,6.3,6.31,6.32,6.33,6.34,6.35,6.36,40700,14700,10500,12000,25100,8500,14000,2100,6800,13000,4800,1600,6600,600,4000,5700,100,5100,9600,10600
7.0,6.26,19000,118909.0,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.16,6.15,6.26,6.27,6.28,6.3,6.31,6.32,6.33,6.34,6.35,6.36,39400,14700,10500,12000,25100,8500,14000,2100,6800,13000,3500,1600,6600,600,4000,5700,100,5100,9600,10600
8.0,6.25,21200,132661.0,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.16,6.15,6.26,6.27,6.28,6.3,6.31,6.32,6.33,6.34,6.35,6.36,37400,15300,10500,12000,25100,8500,19400,2100,6800,13000,3400,1600,6600,600,4000,8700,100,5100,9600,10600
9.0,6.26,27200,170170.0,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.16,6.15,6.26,6.27,6.28,6.3,6.31,6.32,6.33,6.34,6.35,6.36,32900,15300,10500,12000,25100,8500,19400,2100,6800,13000,2500,1600,6600,600,4000,8700,100,5100,9600,10600
10.0,6.26,32100,200842.0,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.28,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,200,1200,33100,15300,10500,12000,25100,8500,19400,2100,6600,600,4000,8700,100,5100,9600,10600,1000,17800
11.0,6.26,34000,212751.0,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.16,6.28,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,108300,34800,15300,10500,12000,25100,8500,19400,2100,6800,6100,600,4000,8700,100,5100,9600,10600,1000,17800
12.0,6.28,46900,293677.0,6.28,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,6.39,300,39800,114700,34200,15300,10500,12000,25100,8500,19400,600,4000,8700,100,5100,9600,10600,1000,17800,1300
13.0,6.28,57200,358273.0,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,6.39,50100,123100,34200,15300,10500,12000,25100,8500,19400,2100,600,4000,8700,100,5100,9600,10600,1000,17800,1300
14.0,6.27,60500,379028.0,6.3,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,6.39,6.4,100,61800,52500,34200,15300,10500,12000,25100,8500,19400,4000,8700,100,5100,9600,10600,1000,17800,1300,13800
15.0,6.3,62200,389727.0,6.28,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,6.39,4100,50300,49900,34200,15300,10500,12000,25100,8500,19400,1200,4000,8700,100,5100,9600,10600,1000,17800,1300
16.0,6.29,63700,399166.0,6.29,6.28,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,6.39,500,4200,39700,50300,34200,15300,10500,12000,25100,8500,2800,4000,8700,100,5100,9600,10600,1000,17800,1300
17.0,6.3,66600,417421.0,6.28,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.29,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,4200,35800,48100,34200,15300,10500,12000,25100,8500,19400,2600,6100,4000,8700,100,5100,9600,10600,1000,17800
18.0,6.29,67200,421191.0,6.28,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.29,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,3800,35800,48100,34200,15300,10500,12000,25100,8500,19400,3200,7900,4000,8700,100,5100,9600,10600,1000,17800
19.0,6.29,67200,421191.0,6.28,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.29,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,4200,35900,47600,34200,15300,10500,12000,25100,9500,19400,3400,7300,4000,8700,100,5100,9600,10600,1000,17800
20.0,6.29,73000,457638.0,6.29,6.28,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,6.39,3000,700,35900,47600,34100,14900,10500,12000,25100,9500,7300,4000,8700,100,5100,9600,10600,1000,17800,1300
21.0,6.28,76300,478392.0,6.28,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,6.39,200,35900,47000,34100,14900,10500,12000,25100,9500,19400,7000,4000,8700,100,5100,9600,10600,1000,17800,1300
22.0,6.28,76300,478392.0,6.28,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.29,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,200,35900,45300,34100,14900,10500,12000,25100,9500,19400,3000,7000,4000,8700,100,5100,9600,10600,1000,17800
23.0,6.29,76500,479650.0,6.28,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.29,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,200,35900,45300,34100,14900,10500,12000,25100,9500,19400,700,7000,4000,8700,100,5100,9600,10600,1000,17800
24.0,6.27,77500,485922.0,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.29,6.3,6.31,6.32,6.33,6.34,6.35,6.36,6.37,6.38,34000,38900,34100,14900,10500,12000,25100,9500,19400,2100,700,7000,4000,8700,100,5100,9600,10600,1000,17800
