LocalTime,LastPrice,TradeVolume,TradeValue,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidPrice6,BidPrice7,BidPrice8,BidPrice9,BidPriceA,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskPrice6,AskPrice7,AskPrice8,AskPrice9,AskPriceA,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,BidVolume6,BidVolume7,BidVolume8,BidVolume9,BidVolumeA,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,AskVolume6,AskVolume7,AskVolume8,AskVolume9,AskVolumeA
0.0,5.43,17600,95568.0,5.42,5.41,5.4,5.39,5.38,5.36,5.35,5.34,5.33,5.32,5.43,5.44,5.45,5.47,5.48,5.49,5.5,5.51,5.52,5.53,2400,1000,11500,9000,10700,7500,16000,10200,2300,1700,2100,15100,20000,12500,1000,44400,11600,3000,12000,25900
1.0,5.42,20000,108576.0,5.41,5.4,5.39,5.38,5.36,5.35,5.34,5.33,5.32,5.31,5.42,5.43,5.44,5.45,5.47,5.48,5.49,5.5,5.51,5.52,1000,12500,9000,10700,7500,16000,10200,2300,1700,4700,1500,2100,15100,20000,12500,1000,44400,11600,3000,17000
2.0,5.42,22000,119416.0,5.41,5.4,5.39,5.38,5.36,5.35,5.34,5.33,5.32,5.31,5.42,5.43,5.44,5.45,5.47,5.48,5.49,5.5,5.51,5.52,1000,12500,14000,10700,7500,16000,10200,3300,1700,4700,2200,2100,15100,20000,12500,1000,44400,11600,3000,17000
3.0,5.42,22000,119416.0,5.41,5.4,5.39,5.38,5.36,5.35,5.34,5.33,5.32,5.31,5.42,5.43,5.44,5.45,5.47,5.48,5.49,5.5,5.51,5.52,16000,16500,14000,10700,7500,16000,10200,3300,1700,4700,2200,2100,15100,20000,12500,1000,44400,12000,5700,19200
4.0,5.42,22000,119416.0,5.41,5.4,5.39,5.38,5.36,5.35,5.34,5.33,5.32,5.31,5.42,5.43,5.44,5.45,5.47,5.48,5.49,5.5,5.51,5.52,16000,16500,14000,10700,7500,16800,10200,3300,1700,4700,2200,2100,15100,20000,12500,1000,44400,12000,5700,19200
5.0,5.42,46700,253002.0,5.42,5.4,5.39,5.38,5.36,5.35,5.34,5.33,5.32,5.31,5.43,5.44,5.45,5.47,5.48,5.49,5.5,5.51,5.52,5.53,8600,10200,16000,10700,7500,16800,10200,3300,1700,4700,4100,19100,20000,12500,1000,44400,13000,5700,19200,25900
6.0,5.42,47900,259506.0,5.42,5.41,5.4,5.39,5.38,5.36,5.35,5.34,5.33,5.32,5.43,5.44,5.45,5.47,5.48,5.49,5.5,5.51,5.52,5.53,7500,500,10200,16000,10700,7500,16800,10200,3300,1700,5000,19100,20000,12500,1000,44400,13000,5700,19200,25900
7.0,5.42,47900,259506.0,5.42,5.41,5.4,5.39,5.38,5.36,5.35,5.34,5.33,5.32,5.43,5.44,5.45,5.47,5.48,5.49,5.5,5.51,5.52,5.53,7500,500,10200,21000,12200,7500,16800,13200,3300,1700,6000,19100,20000,12500,1000,49300,13000,5700,19200,25900
8.0,5.42,58900,319211.0,5.42,5.41,5.4,5.39,5.38,5.36,5.35,5.34,5.33,5.32,5.44,5.45,5.47,5.48,5.49,5.5,5.51,5.52,5.53,5.54,5000,500,10200,21000,12200,7500,16800,13200,3300,1700,19100,20000,12500,1000,49300,13000,5700,19200,25900,13200
9.0,5.42,58900,319211.0,5.42,5.41,5.4,5.39,5.38,5.36,5.35,5.34,5.33,5.32,5.44,5.45,5.47,5.48,5.49,5.5,5.51,5.52,5.53,5.54,5000,500,10200,35800,12200,7500,16800,13200,3300,1700,25000,20000,12500,1000,49300,13000,5700,19200,25900,13200
