LocalTime,LastPrice,TradeVolume,TradeValue,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidPrice6,BidPrice7,BidPrice8,BidPrice9,BidPriceA,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskPrice6,AskPrice7,AskPrice8,AskPrice9,AskPriceA,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,BidVolume6,BidVolume7,BidVolume8,BidVolume9,BidVolumeA,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,AskVolume6,AskVolume7,AskVolume8,AskVolume9,AskVolumeA
0.0,5.94,153900,914166.0,5.93,5.92,5.91,5.9,5.89,5.88,5.87,5.86,5.85,5.84,5.94,5.95,5.97,5.99,6.0,6.02,6.03,6.05,6.06,6.07,7700,26200,36700,38000,6000,15400,5800,84200,75000,17800,2800,9500,2900,1000,9000,2600,7500,9200,3800,17000
1.0,5.93,157900,937896.0,5.93,5.92,5.91,5.9,5.89,5.88,5.87,5.86,5.85,5.84,5.94,5.95,5.97,5.99,6.0,6.02,6.03,6.05,6.06,6.07,5400,26200,39700,47900,9000,17500,5800,84200,75000,17800,1800,9500,2900,1000,9000,2600,7500,9200,3800,22000
2.0,5.95,171000,1015662.0,5.94,5.93,5.92,5.91,5.9,5.89,5.88,5.87,5.86,5.85,5.95,5.97,5.99,6.0,6.02,6.03,6.05,6.06,6.07,6.08,3100,6300,28400,39700,50400,9500,20200,5800,84200,75900,2900,2900,1500,12000,2600,7500,9700,3800,22000,3300
3.0,5.91,241600,1433668.0,5.91,5.9,5.89,5.88,5.87,5.86,5.85,5.84,5.83,5.82,5.97,5.99,6.0,6.02,6.03,6.05,6.06,6.07,6.08,6.09,19600,53400,8800,20200,5800,88200,76800,17800,30300,23500,1800,5900,13200,2600,7800,9700,3800,29400,103300,62900
4.0,5.95,247700,1469945.0,5.95,5.94,5.93,5.91,5.9,5.89,5.88,5.87,5.86,5.85,5.97,5.99,6.0,6.02,6.03,6.05,6.06,6.07,6.08,6.09,13400,1700,5600,22600,53400,29000,20200,6000,83100,79200,1800,5900,13200,2600,7800,9700,3800,29400,105700,62900
5.0,5.95,248800,1476490.0,5.95,5.94,5.93,5.92,5.91,5.9,5.89,5.88,5.87,5.86,5.97,5.98,5.99,6.0,6.02,6.03,6.05,6.06,6.07,6.08,12300,6500,6600,21000,36500,53400,29000,40200,6000,83100,1800,1400,9300,17700,2600,7800,9700,3800,29400,105700
6.0,5.97,267100,1585347.0,5.95,5.94,5.93,5.92,5.91,5.9,5.89,5.88,5.87,5.86,5.97,5.98,5.99,6.0,6.02,6.03,6.05,6.06,6.07,6.08,100,6200,42300,47800,38700,58700,29000,40200,7000,83100,1100,1400,9300,18700,2600,7800,9700,3800,29400,105700
7.0,5.94,289600,1718899.0,5.94,5.93,5.92,5.91,5.9,5.89,5.88,5.87,5.86,5.85,5.97,5.98,5.99,6.0,6.02,6.03,6.04,6.05,6.06,6.07,1300,45700,39500,38700,60500,9800,40200,12000,85100,93500,1100,1400,9300,18900,2600,7800,3000,9700,3800,49400
8.0,5.94,303200,1799743.0,5.93,5.92,5.91,5.9,5.89,5.88,5.87,5.86,5.85,5.84,5.94,5.97,5.98,5.99,6.0,6.02,6.03,6.04,6.05,6.06,43900,37100,38700,68600,9800,40200,12000,85100,98800,17800,12100,1800,1400,9300,19900,2600,7800,3000,9700,3800
9.0,5.93,314900,1869194.0,5.93,5.92,5.91,5.9,5.89,5.88,5.87,5.86,5.85,5.84,5.94,5.95,5.96,5.97,5.98,5.99,6.0,6.02,6.03,6.04,37800,40600,41700,69600,9800,42300,12000,85100,100800,20800,5100,27000,17200,63700,1400,9300,19900,2600,9100,3000
