LocalTime,LastPrice,TradeVolume,TradeValue,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidPrice6,BidPrice7,BidPrice8,BidPrice9,BidPriceA,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskPrice6,AskPrice7,AskPrice8,AskPrice9,AskPriceA,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,BidVolume6,BidVolume7,BidVolume8,BidVolume9,BidVolumeA,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,AskVolume6,AskVolume7,AskVolume8,AskVolume9,AskVolumeA
0.0,5.51,16400,90364.0,5.51,5.5,5.49,5.48,5.47,5.46,5.45,5.44,5.43,5.42,5.52,5.56,5.58,5.59,5.6,5.61,5.62,5.63,5.64,5.65,11300,6300,2000,19500,14000,57200,24200,105300,22500,14900,1300,1000,15300,6700,23900,3000,7600,8400,11800,2900
1.0,5.51,18600,102486.0,5.51,5.5,5.49,5.48,5.47,5.46,5.45,5.44,5.43,5.42,5.52,5.56,5.58,5.59,5.6,5.61,5.62,5.63,5.64,5.65,9100,6300,2000,27700,14000,91300,34200,105300,22500,13900,1300,1000,15300,6700,23900,3000,7600,8400,11800,2900
2.0,5.52,20100,110766.0,5.52,5.51,5.5,5.49,5.48,5.47,5.46,5.45,5.44,5.43,5.56,5.58,5.59,5.6,5.61,5.62,5.63,5.64,5.65,5.66,2500,9100,6300,2000,35300,16000,89300,31200,105300,22500,1000,15300,9700,26900,3000,9600,8400,11800,2900,63900
3.0,5.52,25100,138366.0,5.52,5.51,5.5,5.49,5.48,5.47,5.46,5.45,5.44,5.43,5.56,5.57,5.58,5.59,5.6,5.61,5.62,5.63,5.64,5.65,2700,700,6300,9000,38100,16000,89300,35300,105300,22500,14600,3300,15300,11700,26900,3000,9600,12000,21800,2900
4.0,5.53,25300,139472.0,5.53,5.52,5.51,5.5,5.49,5.48,5.47,5.46,5.45,5.44,5.55,5.56,5.57,5.58,5.59,5.6,5.61,5.62,5.63,5.64,1100,2700,700,6300,11000,39100,26000,89300,35300,105700,2200,21600,7300,15300,12300,26900,3000,9600,12000,21800
5.0,5.53,25600,141131.0,5.53,5.52,5.51,5.5,5.49,5.48,5.47,5.46,5.45,5.44,5.54,5.55,5.56,5.57,5.58,5.59,5.6,5.61,5.62,5.63,800,3500,700,7300,13000,39100,26000,96700,35300,105700,700,2200,21600,33300,15300,12300,31400,3000,11100,12000
6.0,5.53,25700,141684.0,5.53,5.52,5.51,5.5,5.49,5.48,5.47,5.46,5.45,5.44,5.54,5.55,5.56,5.57,5.58,5.59,5.6,5.61,5.62,5.63,700,3500,700,7300,13000,39100,26000,96700,35300,105700,700,3700,22100,45800,15300,18700,31400,3000,21100,22000
7.0,5.53,27600,152194.0,5.53,5.52,5.51,5.5,5.49,5.48,5.47,5.46,5.45,5.44,5.54,5.55,5.56,5.57,5.58,5.59,5.6,5.61,5.62,5.63,700,6900,700,1000,17500,39100,26000,97200,35300,105700,400,3900,22100,45800,15300,18700,31400,5700,21100,22000
8.0,5.53,28200,155512.0,5.53,5.52,5.51,5.5,5.49,5.48,5.47,5.46,5.45,5.44,5.54,5.55,5.56,5.57,5.58,5.59,5.6,5.61,5.62,5.63,8800,10700,1700,3000,17700,40200,26000,97200,36800,105700,400,6900,22100,47300,20300,18700,32400,5700,41000,26500
9.0,5.53,30000,165466.0,5.53,5.52,5.51,5.5,5.49,5.48,5.47,5.46,5.45,5.44,5.54,5.55,5.56,5.57,5.58,5.59,5.6,5.61,5.62,5.63,8300,12200,1700,3000,17700,40200,26000,97700,36800,108700,400,8200,22100,47300,20300,72500,33400,5700,71000,26500
