LocalTime,LastPrice,TradeVolume,TradeValue,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidPrice6,BidPrice7,BidPrice8,BidPrice9,BidPriceA,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskPrice6,AskPrice7,AskPrice8,AskPrice9,AskPriceA,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,BidVolume6,BidVolume7,BidVolume8,BidVolume9,BidVolumeA,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,AskVolume6,AskVolume7,AskVolume8,AskVolume9,AskVolumeA
0.0,6.88,17800,122464.0,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.9,6.92,6.93,6.95,6.96,6.97,6.98,6.99,7.0,7.01,17200,12500,3700,2700,6200,1000,50000,33700,40500,27000,1500,400,3000,27300,19900,500,3300,8700,9500,500
1.0,6.88,21800,149984.0,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.79,6.9,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,21400,12500,3700,11900,6200,1000,50000,33700,40500,27000,3600,400,500,8000,27300,29900,500,3300,8700,9500
2.0,6.9,29100,200290.0,6.9,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,10800,18200,12500,3700,51900,9200,1000,57000,33700,40500,11500,5400,1700,8000,28300,30100,500,3300,38700,9500
3.0,6.9,33600,231340.0,6.9,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,7400,27900,12500,3700,51900,9200,1000,57000,33700,76900,11500,5400,2300,13000,28800,30100,600,3300,38700,9500
4.0,6.9,33900,233410.0,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,8500,1100,27900,11000,3700,71900,9700,1000,57000,33700,11500,5400,2300,13000,30900,30100,600,3300,42200,9500
5.0,6.9,33900,233410.0,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,9500,1100,32500,11000,6900,71900,10700,1000,40200,33700,11500,5400,3400,18700,30900,30100,600,3300,42700,9500
6.0,6.9,47000,323782.0,6.9,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,3300,31100,11000,6900,71900,10700,2000,40200,33700,76900,11200,5400,4800,18700,30900,30100,600,12600,43200,9500
7.0,6.91,65300,450000.0,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,3700,3900,26200,11000,6900,71900,10700,2000,40200,33700,17900,5400,4800,18700,31900,30100,600,12600,43200,9500
8.0,6.9,69100,476220.0,6.9,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,7.0,1400,5300,26200,11000,6900,71900,11200,2000,40200,33700,18000,5400,4800,18700,31900,30100,600,12600,43200,13500
9.0,6.9,76700,528688.0,6.89,6.88,6.87,6.86,6.85,6.84,6.83,6.82,6.81,6.8,6.9,6.91,6.92,6.93,6.94,6.95,6.96,6.97,6.98,6.99,6400,26200,1600,6900,71900,11200,2000,40400,33700,82400,400,15600,5400,6600,18700,33900,30100,600,12600,43200
