LocalTime,LastPrice,TradeVolume,TradeValue,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidPrice6,BidPrice7,BidPrice8,BidPrice9,BidPriceA,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskPrice6,AskPrice7,AskPrice8,AskPrice9,AskPriceA,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,BidVolume6,BidVolume7,BidVolume8,BidVolume9,BidVolumeA,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,AskVolume6,AskVolume7,AskVolume8,AskVolume9,AskVolumeA
0.0,5.65,7900,44635.0,5.64,5.62,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,5.74,3700,500,26900,57000,44700,6300,11500,4000,3400,8500,19700,13400,11400,24500,9200,26000,114000,7800,59400,26600
1.0,5.64,8200,46327.0,5.64,5.62,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,5.74,3400,500,26900,57000,44700,6300,11500,4000,3400,8500,19700,13400,15800,24500,9200,26000,114000,83900,62400,26600
2.0,5.64,8200,46327.0,5.64,5.62,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,5.74,3400,500,31900,57000,44700,6300,11500,4000,3400,18500,19700,13400,15800,26500,9200,26000,114000,83900,62400,26600
3.0,5.64,10400,58735.0,5.64,5.62,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,5.74,6200,500,33500,57000,44700,6300,11500,4000,3400,18500,19700,13400,31200,26500,9200,26800,114000,83900,62400,26600
4.0,5.64,11000,62119.0,5.64,5.62,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,5.74,5600,500,33500,57000,44700,6300,11500,4000,3400,28500,19700,13400,31200,26500,9200,26800,114000,83900,62400,26600
5.0,5.64,11000,62119.0,5.64,5.62,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,5.74,5600,2500,37500,57000,44900,6300,11500,4000,3400,28500,19700,13400,31200,31500,9200,26800,114000,83900,62400,26600
6.0,5.64,17100,96528.0,5.62,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.52,5.64,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,2500,38000,57000,44900,6300,11500,4000,3400,28500,3900,1000,21200,13400,31200,31500,9200,26800,114000,83900,62400
7.0,5.64,17100,96528.0,5.62,5.61,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.64,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,2500,10000,53000,57000,54900,6300,11500,4000,3400,28500,4500,22200,13400,31200,31500,19200,26800,114000,83900,62400
8.0,5.64,17100,96528.0,5.62,5.61,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.63,5.64,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,2500,10000,53000,57000,71900,6300,12000,4000,3400,28500,3400,10300,22200,13400,31200,31500,19200,28600,114000,83900
9.0,5.61,29200,164520.0,5.61,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.52,5.64,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,4400,60500,57000,71900,6300,12000,4000,3400,28500,3900,9900,3500,13400,31200,31500,69200,28600,114000,83900,67400
10.0,5.64,29500,166212.0,5.62,5.61,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.53,5.64,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,20900,4400,60500,57600,71900,6300,12000,4000,3400,38500,9600,3500,13400,31200,31500,69200,28600,114000,83900,67400
11.0,5.64,29700,167340.0,5.63,5.62,5.61,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.64,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,200,20900,4400,60500,57600,71900,6300,12000,4000,3400,10700,3500,13400,31200,31500,69200,28600,114000,83900,67400
12.0,5.64,29700,167340.0,5.63,5.62,5.61,5.6,5.59,5.58,5.57,5.56,5.55,5.54,5.64,5.65,5.66,5.67,5.68,5.69,5.7,5.71,5.72,5.73,400,800,5500,60500,57600,71900,6300,12000,4000,3400,10900,3500,13400,31200,31500,69200,28600,114000,83900,67400
